id,name,content
30,整条路占用晒粮食，影响交通,2020年9月7号上午10:30左右，***社区第三网格在巡查中，发现***小区20号二单元车库前面整个公路上，都占用起来居民在晒粮食，这样影响过往车辆。也堵塞了消防通道，我赶紧询问二单元的业主，并且告诉他粮食是不能听晒在小区里，更不能把整个公路占用，这样会影响交通。也堵塞了消防通道存在安全隐患，业主表是很理解。及时把粮食收走。此处安全隐患已经排除，道路已经通畅。居民们都夸我办事效率快。一切为民服务。
31,清理商铺二号门口东侧堆放的酒瓶和纸箱,在网格内检查时，发商铺2号门口东侧堆放着一些酒瓶和纸箱。这些酒瓶和纸箱需要尽快清理，如不及时清理，既存在环境安全，又影响市容市貌。网格员已联系有店主尽快清理。
32,***门前有大片垃圾及杂物,月常巡查中发*村民张x梅门前有多户的柴草与朵物，影响环境卫生也存在一定的安全隐患。
33,清除占用堵塞消防通道杂物,2020年9月2号下午14点45分，***网格员***日常巡查途径440号楼3单元检查楼道时，发现楼道门口地面上有一堆废旧纸壳子堵在门口占用消防通道，也同时因为堵塞了进出通道，影响居民进出。
34,清理私拉电线,2020年9月1日上午9点，***网格员***巡查网格至9号楼时发现四单元102户居民从一楼私拉电线给外面的电车充电，存在安全隐患。
35,杂草一堆,2020年9月7日下午4点53分，***第一网格员***巡查至***发现第一户村民门外堆着一堆杂草，影响村容村貌。
36,日常巡查中村民***大娘反应自家天然气经常打不着火,日常巡查中村民***大娘反应自家天然气经常打不着火，立刻前去查看发现是管线老化漏气，立刻上报村两委，村书记联系了工作人员进行维修，排除了隐患
37,宠物狗乱跑，危害业主安全,2020年9月7日上午9时50分左右，***社区第12网格网格员***进行日常巡查时发现，在***西门向东30米处有宠物狗乱跑，严重危害小区业主的安全
38,居民反映楼道灯泡坏了。,2020年9月6日下午，***网格***居民反映楼道灯泡不亮了可能坏了，老人晚上出去不方便，需要更换灯泡。接到反映后网格员及时上报物业尽快维修。
39,安全隐患,今天下午（16时6分）在网格巡查时发现车辆聚集。
40,占用绿化带,2020.9.8日上午，***社区第二网格员和物业工作人员，一块在***53号楼排查时。发现绿化带里有花盆等垃圾。经过网格员和居民解释，有于创城工作禁止放在绿花带里。。
41,玉米粒占用公路,2020.9.2日，在**镇***村，今天下午我在村外巡查发现，群众占用公路晒玉米粒，玉米粒差不多占用了整个公路，这样对来回的车辆交通安全造成了一定的隐患，发现情况以后及时和群众联系，群众及时答应把玉米粒运走，也即使消除了安全隐患。
42,垃圾外溢,2020年12月2日，***路第一网格员***日常检发现在***公司门外的垃圾箱外溢需清理
43,巡查设施,今日巡查**村村内的净水设备在使用过程中损坏和是否净水设备的滤芯是否需要更换
44,绿化，杂草清理,村里对绿化，杂草进行清理。
45,清理私拉乱扯晾衣绳,***网格员在辖区内巡查，及时清理私拉乱扯的晾衣绳，维护小区环境美观。
46,共享电动车乱停放,2020年9月10日***街道***社区***小区第五网格网格员***在日常巡查时，发现***19号楼2单元楼门口有一辆乱停放的共享电动车，不仅妨碍居民进出，而且也影响其他人使用共享电动车。
47,木柴乱放,2020年9月8日上午八点四十分，***镇***网格网格员***在巡查至村东数第二条胡同时，发现村民将木柴放在门外胡同内，影响村容村貌
48,晾晒的玉米,2020年11月5日上午10点45分，***村第一网格员***巡查至中心大街北胡同，发现***门前晾晒着玉米，影响村容村貌。
49,***村村东头路上很多蒜苗,2020年9月7日下午16时21分左右，***镇***村网格员***亭入户走访到***村村东头发现***门附近路上全是蒜苗，阻碍通行。
50,清理业主门前花肥,2020年8月2号下午***第六网格内巡查，网格员***。下午在**巡查时，看到3号楼西边的车库门前晾晒着一些物料，问了一下是花肥。我及时和业主说明情况，劝业主清理了花肥。
51,清理蓝球场地摊,2020年9月9日星期三。***社区第四网格员***。今天上午在小区内值班儿。发现在小区东院儿的篮球场上有居民摆摊儿卖玩具。我去劝说。居民创城不允许在小区内摆地摊儿卖东西。居民听后就把玩具都收了起来。
52,楼道张贴创城宣传海报,2020年9月6日，***街道***社区西***区网格员，按照社区创城迎检工作安排，到***小区张贴创城宣传海报，因为小区外墙面是凹凸不平的，无法张贴宣传海报，并且小区现在没有社区宣传栏，因海报有背胶比较难清理。物业不同意在楼道内及单元门上张贴创城宣传海报，网格员在征得物业的同意下，将创城宣传海报张贴在电梯的保护木板上，并注意巡查海报是否有卷边翘角的情况，在小区内营造良好的创城宣传氛围。
53,39号楼西侧路边哂被子需清理,2020.9.8日上午九点，***小区第一网格员***在***小区巡逻排查执守时发现39号楼西侧路边哂被子，立即问明谁家的，叫来该居民说明创城乱挂乱哂影响市容市貌时，居民很配合的收走了。
54,清理乱挂物品,***广场商户乱挂物品
55,树墩子乱丢在绿化带里影响村容,树墩子乱堆在绿化带里
56,小区楼道温馨提示牌内小广告乱贴。,***小区1号楼一单元一楼温馨提示牌内小广告乱贴影响小区卫生环境。
57,清理楼道门口的垃圾还楼道干净整洁,今日巡检网格员走到173号楼楼道门口，发现不知道是哪位居民忘记还是不小心把垃圾落在了楼道内。垃圾影响到楼道内整洁。为了保持楼道的环境清洁卫生网格员及时帮助进行了垃圾的清理。保证了小区居民居住的良好环境。
58,***村东南角**路东有垃圾在路边，影响市容市貌和环境，需要清理干净。,2020.9.2日，***村东南角，**路东侧有垃圾在路边，影响市容市貌和环境，需要清理干净。
59,村民在公路上堆晒玉米芯,2020年9月11日13点50分***村网格员***在***村巡查走访时，走访到***村第一条街往西100米发现有村民把玉米芯堆晒在村公路上未清理，这条路是村民必走之路，玉米芯晒的太干，容易着火使村民出行不便，并影响村容村貌。
60,商河路乱堆物堆料,***路南侧商户门口堆放大量白色泡沫垃圾
61,***区三号楼二单元楼道内声控线盒缺失,2020年9月9日下午15时40分左右，******第八网格网格员***，在日常巡查时发现，***区三号楼二单元楼道内声控线盒缺失，盒内电线裸露在外，影响居***全生活，存在安全隐患。
62,垃圾桶满,2020年12月2日下午1点左右，***网格员***巡查时发现，大队部附近垃圾桶爆满，影*村容村貌和附*村民垃圾处理。
63,占用疏散通道,2020年9月3日上午10点23分左右，**街道***第一网格网格员***在巡查***小区时发现，在***3号楼11层，有居民将自家的板凳随意放置在两楼道间的消防疏散通道内，一旦发生火灾，会导致居民无法及时向对面楼道逃生，存在极大的消防隐患。
64,垃圾清理！,2020年9月10日上午xx社区***第五网格内巡查，发现49号楼北面垃圾投放点存有垃圾，我马上通知物业保洁人员及时进行清理！
65,摸排商铺开业情况,疫情期间，继续摸排商铺开业情况，辖区共计35家商铺，已开业13家，有一人是市外省内回来人员，已出隔离期，其他未离开过东营市。
66,车辆违规停放,2020年9月3日下午2时，街职网格员***对网格内进行日常巡查时发现，有车辆违规停放在路边，影响市容市貌，影响交通正常通行！
67,乱丢垃圾,乱丢垃圾
68,居民在绿化带放置木门等物品,2020年9月9日下午5时5分左右，***社区第十三网格网格员***巡查至***35号楼时，发现有居民在楼东侧绿化带放置木门和木桌，一是占用公共区域，二是影响小区市容环境。
69,垃圾清理,网格内巡查发**村西南侧有砖头瓦块垃圾，**村容村貌，网格员把此事告知网格长，网格长赶紧联系人员进行清理。
70,电线裸露,2020年9月10日我在网格内巡查过程中，发现地下负二层出电梯口顶部电线裸露，出入电梯电线碰头，存在极大的安全隐患，于是我立即到居民家中借用工具将电线裸露问题处理掉。
71,居民装修垃圾乱堆,2020年9月10日上午10时27分左右，**街道xx社区第六网格***巡查至***51号楼时发现:51号楼一单元楼梯口有一居民装修的沙子乱堆，影响小区的市容保洁。
72,巡查,2020年9月8号***村网格，网格员***。今天早上在我村巡查。
73,喜亮超市往东修理下水道,2020年12月2日12时左右，***段**村网格员***巡查至**村中心街处，发现村东西路修理下水道，地沟岩板乱放影响村容村貌。
74,饮水机排查,饮水机排查保证正常使用
75,路上有垃圾,路上有垃圾
76,车辆乱停乱放在路边。,车辆乱停乱放在路边。
77,车辆乱停乱放,2020年9月7日下午，三点左右，天气晴，在村内巡查时发现路边有车辆乱停乱放应响了村民出入注意安全。
78,清理小区内防汛沙袋,小区内有防汛沙袋，为了小区内居民环境卫生，通知居民把防汛沙袋清走，有的居民车库前沙袋太多，帮着一起清理
79,小区内大型直饮水机漏水,2020年9月9日，**网格员在**小区日常安全隐患巡查，巡查至活动室旁边时发现，居民在健康直饮水机旁接水，接水桶下边往外溢水，网格员立即与直饮水机管理人员联系，管理人员检查后发现，是因直饮水机内部的过滤网堵塞造成的，工作人员换上新的过滤网，保证居民正常用水。
80,烂草乱放,2020年9月8日早上我刚打上上班卡出来在村内环境治理卫巡查时走到***时发现昨天刚找上人打扫的干干净净的大街上不知道是谁又放上了一些烂草，我就第一时间过去了了解了情况后我直接去了该村民家找到了他问了一下情况，该村民说了一些理由，经过我一番的批评他也耐心的讲解了一些，现在正是环境卫治理工作中你无论有什么理由也不允许乱堆乱放，最后他也认识了自己的错误答应马上就去清扫干净的
81,建筑垃圾,在网格巡查时发现***小镇有业主装修，长时间存放在门外建筑垃圾
82,走访时发现自来水管龙头破裂存在安全隐患,走访时发现自来水管龙头破裂存在安全隐患
83,劝导村民不要占道晒粮,在网格内巡查时，发现一户村民把粮食晒在道路上，不但严重影响村容村貌而且对来往村民出行带来不便，，我立即找来该村民进行劝导，并告知占道晒粮的危害性，村民听了我的劝导说一定马上收走。
84,14号楼前哂被子需清理,2020.9.8日上午***点，***社区***小区第一网格员***在***巡逻排查执守时发现14号楼前哂被子，立即问明谁家的，叫来该居民说明创城乱挂乱哂影响市容市貌时，居民很配合的收走了。
85,清理街道晾晒,2020年9月7日，***村网格员巡查至村大街时。发现街道上有村民晾晒粮食，影响交通及村容村貌的整洁。
86,装修垃圾乱放,2020年9月7号，***街道办事处***村网格员***在小区内巡查时发现:哎，38号楼北面的路边有一堆装饰垃圾，影响小区的环境卫生，请有关部门及时处理，谢谢！
87,帮老人把土搬进院子,2020.9.7号上午8点20分，******镇***村网格网格员***在巡查时看到一位老人自己往院子里搬肥料土，用于种菜。
88,对胡同中堆积的柴火进行清理,2021年2月1日10点49分左右，***村网格员***，在巡查至第四条胡同***村民家门口时，发现该村民在胡同中堆积很多柴火，影响村容村貌的干净整洁。
89,部分商户污染街道,今天是2021年2月1号星期一，今天我发现有部分商户污染街道卫生，路边或者是垃圾不清理造成一定的影响。
90,树木倒塌,时间2020年9月7号地点***村事件详情在网格区域内进行巡查过程中发现在我村中街的道路边有一棵树因为下雨大风被挂倒了，堆放在路边影响街道面貌以及阻碍该居民出行，立即对此进行处理。
91,劝导路上禁止晒粮,村内巡查中发现村民在路上晒粮，告诉她在路上禁止晒粮，影响车辆出行，也存在安全隐患。
92,河道巡查,2020年9月9日上午7点40分，***小区第一网格***，针对管辖区域内的河道进行安全巡查
93,施工后的沙子未清理,小区楼道旁施工后的沙子未清理！
94,清理绿化带杂草,**小区清理绿化带杂草
95,绿化垃圾,2020年9月10日9时40分左右，***镇***村网格网格员***在日常巡查至村东第一条巷子时，发现此处垃圾桶绿化垃圾外溢，影响村民生活及村容村貌。
96,疫情期间，志愿者为隔离人员送生活用品。,疫情期间，志愿者为隔离人员送生活用品。
97,厂区内一废气水池无盖板,2021年2月2日10时15分左右，***网格专属网格员***日常巡查企业，在食堂后面发现一废弃水池，水池上用破旧木板盖住，但并未完全盖住，还有部分杂物堆积，影响美观且不安全，容易造成员工踩空，有很大安全隐患。
98,供水管线漏水,***社区第九网格员8:00巡视小区走到64号楼时水阀池突然流出大量的水。为闭免损失，网格员立即拨供水公司维修电话问明事故原因。施工方正在冲洗新水管线作业，十分钟后工作人员关闭总阀。
99,乱堆物料,2020年9月9日8时30分左右，***村第二网格网格员***，巡查至***村东时，发现公路边有乱堆物砖头现象，影响村容村貌。
100,生活固废清理,2020年9月10日下午，我在网格内巡查，看到位于村西路边垃圾筒内的垃圾已满，我已联系村保洁员正快清理，以免造成村居环境污染。
101,禁止沿街商品房乱扯乱挂,2020年9月3号上午9:20分，***第九网格员，***在***北门巡查时发现。有居民私自在商品房旁扯绳晒被单。这样影响街面环境。以告知居民禁止在墙上乱扯乱挂。
102,物料乱堆放,物料乱堆放
103,清理***城杂草,2020年9月8日7时14分，***网格网格员***与***其他两名网格员在日常巡查时，路遇居民反应***城杂草丛生，隐藏众多蚊蝇小虫，非常影响商用环境。网格员们及时联系物业及保洁人员清理杂物杂草，助力创建文明城市。经过近一小时的辛苦努力现已清理干净，过往群众纷纷感谢网格员们及时处理，恢复***城整洁美观。
104,逆向停放车辆,巡查发现在我村村***大院门口旁有逆向停放车辆的现象影响车辆通行的同时存在交通安全隐患
105,公路晒粮,2020年9月7日下午两点四十分左右，网格员***在日常巡查工作至村前***中段时，发现有晒粮现象，玉米占据了半个公路，出现车辆拥挤堵塞现象，存在道路安全隐患。
106,巡查时发现小广告乱贴现象，影响村容,巡查时发现小广告乱贴现象，影响村容，需清理
107,乱挂物品,9月9号上午8:51分，***广场居民在公共设施晾晒被子。
108,车辆乱停乱放堵塞道路,2020年9月28日下午3点24分，***社区第九网格网格员***日常巡查正和小区，巡至2号楼东侧时，发现一辆私家车停放在路口，堵塞了道路，使得其他居民的出入不方便，妨碍了其他居民的日常进出。
109,垃圾清理,在巡查中发现有生活垃圾放在路边，于是上前放入垃圾桶。
110,小区路边尘土过多,在小区巡视发现由于近期汛期雨水多导致草坪地里的一些尘土留到路边厚厚的一层，非常影响市容市貌。
111,***垃圾堆放,2020年9月9日15时50分左右，***社区第十网格员***，日常巡查至***36-103时，发现车位堆放大量装修垃圾，影响小区环境美观整洁。
112,垃圾桶已满外有散落垃圾,2020年9月7日07时40分左右。***网格员***走访至***北边大街村口，发现路南***屋后的桶边堆满了生活杂物未清理。
113,***南区车辆乱停乱放,2020年12月2日下午13时33分，***网格员***，巡查至***南区*路时，发现车辆乱停乱放，阻碍*路通畅，影响过往车辆正常通行，影响街面秩序，此处禁止停车。
114,大豆站道,xx县xx城街道**村网格员***，今天下午我在巡查时发现**村南北街街巷两边立着很多割来的大豆，此街巷本来狭窄。现在更加狭窄了。这样还影**村的**村貌。以及人居环境达标指标。
115,村民胡同内堆放沙土协调处理,2020.09.07上午十点左右***镇***村网格员***网格巡查走至村民***户时发现胡同内堆放沙土影响村容村貌
116,***综合办公楼门上闭门器损坏,2020年9月2日上午9点20分左右，***第九网格网格员***进行日常巡查，巡查到***综合办公楼时发现门上的闭合器损坏，门半开着，存在一定的安全隐患，于是网格员立即联系物业前来维修。
117,装修垃圾没及时清理,装修垃圾没及时清理。
118,清理街道上瓜子皮,巡查时发现街道上有瓜子皮，及时清理一下。
119,施工占道,施工占道。
120,宣传扫黑除恶知识,*村民宣传扫黑除恶知识，提*村民自我保护意识。
121,村民门前*路上有垃圾,2020年9月2号11:02左右，xx*村容村貌。
122,储藏室乱扯电线,2020年9月11日下午2时10分，**三格网格员***日常走访**小区时，发现2号楼11号储藏室有居民私自将电线从窗户扯到储藏室，存在安全隐患。
123,安全隐患排查,2020年9月8日，在***网格内巡查时。在村后边的路边发现水表池子损坏存在很大安全隐患。已及时上报村委，通过村两委找来维修工正在维修。
124,清理小区内成堆垃圾,2020年9月9日17时，**区**街道xx社区***网格网格员***在小区内日常巡查时发现小区内有成堆垃圾散发阵阵恶臭，严重影响了居民的正常生活。为了还居民一个干净整洁的环境，网格员将垃圾进行了清理。并向居民进行了环境卫生宣传，并张贴了垃圾分类宣传，希望能够带动辖区内居民的环保意识。自觉养成保持环境卫生的良好习惯。
125,网格员巡查时发现***北门口邮政局的遮雨挡板破损严重，容易掉落砸伤人，存在极大安全隐患，网格员已联系邮政人员维修，现已维修好！,***社区居委会第七网格网格员***和第六网格网格员***在辖区内巡查时发现位于***北门口16号楼东侧的邮政储物柜上方的遮雨挡板破损严重，经查看是因年久盖板老化，还有树枝倒插在盖板上，容易掉落砸伤人，此处过往行人较多，存在一定安全隐患。网格员立即联系了邮政服务电话报。下午16点30分左右邮政工作人员前来查看后对遮雨进行了维修，现已维修好，安全隐患排除！
126,清除楼道内小广告,2020年9月8日7时43分，***社区教育网格网格员***，在日常巡查工作中发现***3号楼楼道门口有小广告，创城在即，严重影响市容市貌。网格员立刻展开清楚小广告工作，居民对网格员表示非常感谢。
127,巡查中发现路边有大量树叶，影响环境卫生，我联系保洁员前来清理,巡查中发现路边有大量树叶落下，影响村容村貌，我及时联系保洁员前来清理
128,巡查街面秩序,网格员巡查至村***路南时，见一住户在大街上堆放沙石，影响村容村貌。
129,自行车等杂物占用应急疏散通道,2020年9月8日下午15时40分左右，***街道***社区第四网格网格员在小区走访时，在走访到***23号楼1单元时，在18楼楼梯拐角，发现有居民家自行车等闲置物品放置，楼梯拐角位置属于该楼的应急疏散通道，一旦占用、堵塞，发生意外时，将严重影响居民逃生，造成极大的消防安全隐患。
130,清理垃圾桶上白色泡沫,2021年2月2日10时26分左右，***社区第十网格员***在***巡逻时，巡逻到小区二号楼北边垃圾桶位置时，看到垃圾桶上扔着一个白色大泡沫，居民反映没法扔垃圾让尽快解决！
131,网格员每日巡查时发现8号楼前绿化带旁有居民乱放生活垃圾,***网格员每日巡查时发现8号楼前绿化带旁有居民乱放生活垃圾
132,楼道内有乱堆乱放杂物,2020年9月2号下午，**区******网格*网格员在网格内日常巡查时，发现五号楼二单元楼道内有乱堆乱放杂物，不仅破坏了小区环境，同时影响了市容市貌，网格员发现后，立即通知物业进行清理。
133,***北区车辆乱停乱放,2020年9月7日上午8时47分，***社区***专属网格员***，巡查至***北区道路时，发现车辆乱停乱放，阻碍道路通畅，影响街面秩序，影响过往车辆正常通行，此处禁止停车。
134,防疫情，每日随访上报返回人员情况,每日随访上报返回人员情况
135,***二村环境卫生,2020年9月7日，***村网格员日常巡查时发现，***路主街道上大面积晾晒柴火及垃圾，污染了周边的环境卫生，影响了村里的村容村貌
136,路口车辆乱停,巡查时发现路口车辆乱停，影响其他车辆通行
137,垃圾桶满溢,2021年2月1日上午***网格员***在村内巡逻时发现村南垃圾桶满溢对社会环境造成很大的影响。
138,安全隐患排查,小区外绿化带内井盖缺失，电缆线外露，存在安全隐患。
139,小区6号楼3单元楼道里存放杂物需及时清理,2020年9月8日***社区第六网格员***和***片区巡查，在巡查时发现小区6号楼3单元楼道里存放杂物，于是找到存放杂物的居民，劝导后居民立即进行了清理。
140,垃圾桶爆满,巡查至***西街，发现垃圾桶爆满，我立即打电话联系村内保洁员到现场后把些烂衣物等垃圾装三轮车，载到垃圾回收站
141,老人被困家中，网格员帮助解决问题,2020年9月9日上午10:00，***社区第二网格员***接到居民求助，夫妇两人去买菜，回来发现老人把门锁反锁，老人患有痴呆无法与其进行正常语言沟通，而且自己不会开门，夫妇在外特别着急，想寻求网格员帮助，网格员跟夫妻商量找开锁公司。最后经居民同意开锁公司把门打开，事情得到了圆满解决，居民对网格员表示感谢。
142,***家门口有葱叶成堆影响环境,2020年9月6日14点左右，***网格员***在巡查街道时发现，***家门口有葱叶成堆影响环境。
143,树枝断裂存在安全隐患,二零二零年***月八日上午十点钟左右在***第四网格巡查时发现109号楼东北方向绿化带内有一棵树因钻心虫咬断了，但是还没有完全掉下来。存在很大的安全隐患。因为说不定哪天会掉下来砸到来往行人。
144,清理铁板,**镇**村网格员***在巡查走访中发现有人将铁板堆积在巷道里路口，影响了车辆通行，也存在安全隐患
145,疏散占用消防安全通道的车辆,2020年9月2日下午2点50分，为继续做好创城服务工作，***第七网格***坚守岗位，继续在***北门口值守，在值守过程中发现有车辆占用消防安全通道，堵塞交通。立刻上前劝阻，及时疏散车辆。
146,***村网格清理树枝垃圾,2020年9月8日.星期二上午在***村网格，发现村里修剪的树枝垃圾还没收拾，还就是环境卫生比较差，经网格员帮忙联系主家于9日上午已经收拾完成了。
147,晾晒物品,2020年9月7日上午10点左右，***社区第八网格网格员***在巡查中发现，***东侧城南批发市场北50米处，铁栅栏上有居民晾晒物品，影响市容市貌。
148,清理乱挂物品,清理华都广场乱挂物品
149,晾晒玉米,2020年9月8号上午9点18分，***第二网格网格员***在村西头南边大街巡查时发现村民在路边晾晒玉米。影响环境卫生和村容村貌，存在交通安全隐患。
150,儿童向铁架高处攀爬,9月9日下午四点30左右，***村第二网格网格员***日常巡查广场上发现有名儿童在没有成人看护的情况下向铁架高处攀爬。给自身安全带来隐患。
151,乒乓球台上晾晒玉米,2020年9月8日15时10分，***社区第七网格网格员***在***小区巡查到2号楼东侧健身广场时发现在乒乓球台上晾晒玉米，不仅占用了小区公用设施还影响了小区美观。
152,网格巡查时发现迷路老人,2020年9月11日上午9点50分左右，***村第一网格员***日常巡查至村中心大街路口时，发现一位90岁高龄的赤脚老人独自坐在路上，鞋子和拐杖放在旁边，网格员***上前询问老人家庭住址，老人精神恍惚，无法说出正确地址，情况紧急。
153,杂草垃圾乱放现象,2020年9月10日下午，***村网格员发现村民***房子前边的公路旁边有一处杂草乱放现象，该现象影响村容村貌。
154,地面脏有土和葱叶，影响市容市貌,12月1号下午14点左右巡查网格时，在网格内发现路边公路上有一些葱叶和土，垃圾桶也歪倒，影响市容市貌，影响环境卫生，行人无法正常行走，妨碍交通，需要及时清理。
155,道路上晾晒花生现象,巡查发现在我村***道路上有晾晒花生的现象影响车辆通行如果碾压又将存在隐患
156,居民反映草坪蚊虫问题整改,2020年9月3日上午9点15分，东***员***，接到居民反映最近下雨情况多了，蚊虫成堆，建议绿化带草丛多打药，不然傍晚出门散步，蚊子太多了。网格员***联系物业绿化组孟*班长说明情况。她安排人员上午打药，二区各个死角都普遍打药，并提醒居民上午不要晾晒衣服被子。物业的服务态度让居民表示非常满意。
157,清理垃圾,2020年9月4日上午8点40分左右***村网格员***巡查走访至村南街时，看到路边垃圾桶已满，影响到村村容村貌给村民生活上带来不便，存在安全隐患。
158,网格员联系物业处理小区内废弃家居,9月6日15时网格员***在日常巡查过程中发现环保局小区内角落的树下有一个居民不要的洗手台，经过多次询问得知是1号楼2单301室家里丢弃的，居民告诉我家里重新装修，旧洗手池因体积太大不知道丢弃在哪里，就先放在小区昭的角落里了，网格员***联系物业，物业派车帮助她拉走了，居民表示十分感谢，这样做也保证小区内环境。
159,乱堆乱放,2020.9.6上午7时36分左右，***村网格员***巡查至我村村南，发现一处生活垃圾随意堆放，影响我村村容村貌，同时对环境整治带来不利影响，因大量堆积发酵腐烂，散发刺鼻异味
160,***胡同有土,2020.09.9日下午3点在日常转看村胡同时发现一户门前常时间放着一大堆土，前几天户主倒瓦我提醒过说弄完就让他清理干净，今天还是没清理干净，很影响村环境卫生。
