id,name,content,label
21,广告,2020.9.9号***二路四号泵站门口向南50处的管道架上有广告影响市容市貌。,0
22,室外有随意晾晒的衣被,居民在室外随意晾晒衣被影响市容,6
23,清理晾晒物,2020年9月8日上午，***村网格员***巡查至网格一胡同时，发现村民门口晾晒大量杂物，影响村容村貌。,0
24,小区业主结婚，鞭炮碎屑需清理,小区内业主结婚，燃放的鞭炮碎屑需清理,3
25,垃圾桶满,2020年9月8日，8：20分左右***村网格员***在村里巡查时发现村西头第三个垃圾桶满已满，垃圾桶满对周围村民造成不便，影响村貌，存在安全隐患。,5
26,协助居民处理难题,2020年9月3日**社区工行网格员***在网格巡查走访时有个小青年似乎在寻找什么网格员主动上前询问得知男子是如意街附近新来的商户不知在哪里交电费店里还在装修用电，他只听附近居民说在这附近但是就是找不到地方，网格员在掌握人熟地熟情况熟的基础上把男子指引到**物业，男子表示非常感谢,0
27,劝导清理路面上的沙子,网格内街道胡同安全隐患排查中，发现村民***家屋后摊放着一堆沙子，创建美丽乡村时刻严重影响市容市貌环境卫生，本网格员立即入户劝导将沙子清理。,0
28,自来水表智能线掉落。,2020年9月3日上午。***第十网格员***在巡查**家园东区时发现。和平东区三号楼三单元车库门口自来水表连接智能机的管线掉落。马上打电话联系***物业。物业派来师傅交线固定好。,0
29,玉米芯乱放,2020年09月08日在网格内巡查中发现文化大后面东西路第三个十字路口处有村民乱放玉米芯现象，存在安全隐患，影响村内环境卫生，急需清理。,1
30,电动小汽车占道高空充电,2020年12月3日上午8点47分左右，***网格员在***所属网格内巡查，当巡查到8号楼1单元楼东位置处时，发现有一辆电动小汽车占道且高空充电，电动小汽车停放于道路拐角处，严重遮挡居民正常查看前方道路的交通情况，有可能因为遮挡看不清从而发生摩擦碰撞事故，存在安全隐患问题，且电动小汽车高空充电，电线高空顺下来，穿过绿化带，如果电线发生短路，则有可能引发火灾，对该栋楼居民的生命安全造成威胁。,2
31,24－2前面有居民私拉绳子挂衣服,2020年09月07日上午9时，***网格员在***社区***内排查时发现:24号楼二单元前面有居民私拉绳子挂衣服，影响到小区街面秩序，已经与居民沟通，他们会尽快将衣服拿走！,6
32,施工物料乱堆,2020年9月7日上午9:00，***网格员在***小区日常巡查中。在***北门东侧的绿化带里发现一堆施工后的物料。,1
33,协调清理建筑垃圾,2020年9月10号上午8:30，******社区1号网格员***协同ab岗搭档2号网格员***在日常巡查时发现179号楼2单元603的住户在进行装修，单元楼道门口堆放了建筑垃圾，污染环境，给小区居民出行带来不便。,0
34,九小场所整治通知,根据***区消防要求对“九小”场所消防安全专项整治方案的通知,0
35,小区围墙,2020年12月1号上午9点40分，***二区第五网格员***在小区巡查发现48号楼北边院围墙坏，缺失，需要重新维修,0
36,清除垃圾情况,2020.9.8号，***村网格员***，查巡中发现村东街公路边有村民乱扔的塑料袋，影响村容整洁，网格员及时在村环卫工人到来之前将塑料袋放入随身所骑电动车内，放置附近垃圾桶，确保村内环境整洁卫生。,0
37,堆放垃圾,2020年9月02日上午9时10分，**街道**社区**网格网格员***在网格内巡查至6号楼楼前位置时，发现绿化带一角堆放着一些生活垃圾和装修用的水泥袋等，严重影响小区整体环境，现在正值创城期间，应该严禁这种破坏环境的不文明现象出现。,4
38,2号楼东北侧毁绿种菜,2020年9月1日上午8点51分，***第十一网格员在**街道********小区巡查，在巡查过程中发现2号楼东北侧毁绿种菜现象。,14
39,树**路影响交通安全,9月10日**村网格内北边东**路西首有树枝掉落遮**路存在安全隐患,0
40,垃圾,垃圾,3
41,清理房前屋后杂草,村内巡查时发现铁路以东居住区村民***屋西杂草丛生，长的很高，秋后容易着火。严重影响村容村貌。于是我立即上报网格长立即组织人员进行了清理。,0
42,巡查时发现路面不洁净，影响村容,巡查时发现路面不洁净，影响村容,0
43,清理废弃垃圾,今天上午，网格员在进行环境卫生巡查时看到，村东南角空场处有废弃垃圾，隐影响村容村貌环境卫生评比，于是网格员及时联系保洁员组长***组织人员前来清理。,0
44,村民下水逮鱼,2020年9月7号下午4点15分，***村网格员***在网格内正常巡查，当巡查到重点区域的河流时，发现村民侯某某正在河里逮鱼，由于现在雨量较大，河内水比较深，所以这种情况非常危险，急需处理了。,0
45,车辆占道,2020年9月2日上午，网格员在**镇**村网格内走访巡查中发现，在网格中心街的道路上停放着一辆农用车，网格内的道路本来就不宽，道路上来往的车辆挺多，农用车停在那里不仅影响网格内交通秩序，还可能发生道路交通安全隐患，农用车应该马上开走，停放到不影响交通的地方。,2
46,因水管漏水，居民地下室被淹,2020年9月9日上午，xx社区网格员接到居民反应，***的地下室水管漏水，地下室被淹。网格员立即电话通知施工队关闭水管总闸门，并马上赶到4号楼查看，发现是因为施工队把水管线割断后没有打盲板，用胶皮塞上，供水一送水，把胶皮顶开，就漏水了。了解清楚漏水原因后，施工队马上安排人员打上盲板，并帮着居民清理干净地下室的水。,20
47,街道上晒粮，有交通安全隐患,网格员在巡查过程中，发现有几户村民在街道上晒粮，影响交通,0
48,施工中拆卸的废旧窗框乱堆乱放,2020年9月2日下午3点36分，**社区第九网格网格员***，日常巡查正和小区，巡至一号楼一单元东侧时，发现施工队将拆卸下的废旧窗框，随意堆放在小区的公共区域，影响了小区的市容市貌，占用了小区的公共区域，产生了不好的影响。,1
49,清扫小区地下停车场入口,网格日常网格巡查，发现小区西门地下停车场入口处的乱堆乱放现象多次劝说老人还是未彻底清理干净。为了广大业主及小区整体环境，从物业借来扫帚等工具打扫干净，将拾荒老人未清理干净的物品全部扔掉。,0
50,中心街北路面积水,2020年9月8日11点40分左右，***村网格网格员***巡查走访至中心街，在中心街北路面积水，存在安全隐患。,0
51,门口堆积大量柴禾,2020年9月8日7时43分左右，***镇***第二网格网格员***走访至***第75号时，发现门口堆积大量柴禾，影响村容,0
52,私扯绳子晾晒被褥等床上用品,2020年9月3日下午3点30分左右，***第二网格网格员***在网格内进行日常的安全巡查工作。在巡查到交通局***院18号楼楼南侧时发现有居民私扯绳子晾晒被褥等床上用品。私扯绳子晾晒被褥的行为十分影响小区的环境卫生，同时也破坏了此处的交通环境影响该楼居民将车开进车库，十分不利于精神文明城市的创建，需及时协调处理。,0
53,危险驾驶,巡查过程中有村民未佩戴头盔骑电动车存在一定安全隐患,0
54,胡同内晒玉米皮,2020年9月9日上午9:40左右，***镇***村第三网格员***巡查至村东头***附近，发现胡同内晾晒玉米皮影响交通,1
55,疫情排查,9月10日***西大门商铺排查有无境外进入人员,0
56,小区楼前垃圾桶倾倒垃圾散落,小区楼前垃圾桶倾倒垃圾散落一地，影响小区环境,3
57,居民杂物乱堆,2020年9月2日下午4点25分左右，***网格员***，日常巡查网格至***小区20号楼一单元东侧向南35米处，发现居民随意放置的水桶、纸板等物品，占用公共场地，影响其他居民出行，同时也不利于文明城市建设。希望尽快联系居民将其收走。,1
58,村道路旁交通警示柱破损，存在安全隐患,巡查时发现村道路旁交通警示柱破损，存在交通安全隐患。,0
59,路面掉落的一片树种,巡查中发现路边掉了一片的树种，影响村容，现在城管局查的严，环卫工及时清理干净。,0
60,网格员巡查发现16号楼东侧的邮政储物柜上方的遮雨挡板破损严重，经查看是因年久盖板老化，还有树枝倒插在盖板上，容易掉落砸伤人，网格员立即联系了邮政服务电话报修。现已维修好，安全隐患排除！,网格员巡查时发现位于***北门口16号楼东侧的邮政储物柜上方的遮雨挡板破损严重，经查看是因年久盖板老化，还有树枝倒插在盖板上，容易掉落砸伤人，此处过往行人较多，存在一定安全隐患。网格员立即联系了邮政服务电话报修。,0
61,在网格内排查,有一堆沙子当在路上，我村的书记找来铲车把沙子铲走,0
62,网格内巡查发现***菜馆门前乱堆杂物,网格内巡查***侧时发现***菜馆门前乱堆杂物，影响市容市貌环境卫生安全，经和店主协商，店主同意不要，立即联系附近保洁人员来到现场清理运走。,5
63,发现街面游商,2020年9月7日上午在村民***家门口走访巡查中发现，收破烂的村民正在进行街面游商，影响村民正常生活！,15
64,清理34－1的装修垃圾,2020年9月9日上午9时30分在***街道办事处***社区第十三网格巡逻排查时发现，在小区的34号楼一单元有一堆装修垃圾，经过与物业沟通会尽快联系人员清理,10
65,道路塌陷,2020年9月2号下午14点12分，我在我网格管辖区内到野外田地里去巡查。走到北面东西路上，过了雨季，看到因积水导致路面塌陷。现在村民正忙着收割春玉米。道路塌陷给村民带来不便，需要修补。,0
66,***巡查,2020年09月02日早上，***第一网格***，在日常走访巡查过程中，发现***村中心大街北段，于田间地头交界处有许多树枝，有几个儿童在玩耍。,0
67,打场晒粮,9月4号下午3点15分，***网格员***巡查发现公路上晒了好多高粱，易发生严重的交通事故，粮食发滑，车辆打滑，容易发生安全隐患。及时通知主家，和他说明危害，让他把高运走。,0
68,公益演出,2020年9月4日。县文化局为我们村村民义务播放决战脱贫攻坚，建设美丽乡村，优秀电影公益展映。,0
69,***巡查中发现有群众将狗拴在路边买卖，存在安全隐患，我及时劝导群众将其关在笼子里,***巡查中发现有群众将狗拴在路边买卖，存在安全隐患，我及时劝导群众将其隔离,0
70,协调物业维修***灯泡,2020年9月2日下午四点左右，***第四网格网格员在小区巡查时，有住户反应楼道内灯泡不亮，晚上出现不方便，存在安全隐患，希望能协调物业及时维修。,0
71,***小区门口占道摆摊影响交通存在隐患,***小区门口大路上摊主占道摆摊影响交通存在隐患通知摊主处理,15
72,车辆乱停放,日常巡查时，发现**村内车辆乱停放，影响村容村貌。,2
73,5号楼2单元储藏室走廊里停放大量的自行车,2020年12月1日下午3点15分左右，***社区第二网格网格员***在网格巡查至***5号楼2单元时，发现储藏室走廊里停放了大量的自行车，存在安全隐患。,7
74,10号楼二单元楼前堆物,2020年9月9日上午11点6分左右，***社区第二网格网格员，走访巡查至***10号楼二单元时，发现楼前有居民将杂物堆放到绿化带内，破坏了小区绿化，影响市容市貌。,1
75,公交站牌表面不洁,巡查中发现二队路边左侧的公交站牌表面很多泥点，不洁，环卫工正好在，找来抹布清理干净。,12
76,菜市场门口居民乱停车造成道路拥堵,2020年9月3日下午3点10分左右，***第三网格网格员***，在巡查到**菜市场西侧路口时，发现居民将机动车停在了道路中央，此道路来往车辆众多，严重妨碍其他车辆的正常通行，同时也影响了精神文明城市的创建。,2
77,二期广场西侧绿化带内晾晒床单,2020年9月7日下午3:50，***社区第八网格网格员***巡查至***二期广场，在广场西侧绿化带内看到有人晾晒床单，破坏了小区环境，不符合小区管理要求，希望尽快收回,6
78,乱扔垃圾,2020.9.9日上午9:26分，***村网格员***巡查至村西垃圾桶旁有垃圾，垃圾要扔在垃圾桶里面，这样严重影响村容村貌，需及时清理。,1
79,街道堆积杂草尽快清理,2020年9月2日下午两点左右，***第一网格网格员***，在*村容村貌。,4
80,建筑垃圾清理,***小区4--3--501居民家中装修把建筑垃圾堆放在楼道和一楼住户楼门口，引起一楼住户不满意，多次沟通也不给与清理，居民把情况反映给网格员，网格员联系业主创城期间小区内不能堆放建筑垃圾，楼道存放建筑垃圾不在安全隐患，业主也知道创城期间重要性，立即清理完成,5
81,私拉电线给电动车充电,2020年9月3日下午2点左右，在巡查网格时，发现小区楼下，有一电动车私拉电线违规停放充电，并且电线长时间暴晒容易老化，容易发生火灾，造成人身伤害等行为，针对这种情况需及时找到车主处理。,8
82,宣传纸,路边有丢弃的宣传纸,3
83,车辆乱停乱放,2020年9月7上午8:35分，***村网格员接到村民电话反映，在辖区主路中段有个小型轿车停放在比较靠路中央的位置，非常影响主路交通，来往车辆几乎无法通行，村民希望我协调解决问题。,2
84,公共区域乱停车,2020年9月3日下午2点20分，***网格员***，巡查至***北区12号楼东侧时，发现公共区域内有电动三轮车乱停乱放，不仅影响居民的正常娱乐活动，而且存在安全隐患。,2
85,道路损坏,2021年2月2日上午9点30分，网格员巡查至基础网格四区，作业北区锅炉房院内，发现道路损坏一处，此处无路灯，夜间值班的职工不注意容易误入坑中，造成伤害。需及时修复。,18
86,电路隐患,巡查至***小区发现一居民在电控箱忙碌，经现场协助查看，发现电控开关已损坏，并有线路有部分烧毁。存在极大安全隐患。,0
87,修补小区围栏,***四区的围栏是铸铁材料，年久老化，易破损，有几处围栏让居民损坏，方便居民出行小区，但也造成了小区安全隐患，居民担心家庭财产安全。***四区网格员及时反应问题，居委会带领施工及时将缺失的围栏补好，居民非常满意。,0
88,信息采集,2020年9月8号8点55分***第三网格员***，到居委会进行居民信息采集工作。,0
89,接国外隔离返回人员,***国外隔离人员在广州隔离完成之后，到达***24小时检测2次之后网格员拿介绍信到达***湖书院接人，到达时间后签完字家长把孩子接回家并表示感谢，为了小区的安全时刻做好防疫准备为辖区居民提供方便。,0
90,杂物清理,商户杂物乱放，影响小区环境,0
91,巡查发现路上有树上掉落的干树枝,今天下午两点五十分左右，巡查到村后街西边，发现树上掉落的干树枝，正好掉落在路上。,4
92,环境整治清理路边落叶，烟头及杂草,网格内协助村内领导和村内的保洁员一起对村内环境共同整治，清扫主要街道路旁的落叶，烟头及杂草美化环境，创造美好家园,0
93,***社区开展送春联志愿服务活动,岁末临近，新春将至。为营造欢乐喜庆、温馨和谐的节日氛围，弘扬中华民族迎新春、贴春联的优良传统文化，丽日社区组织网格员和志愿者入户为辖区居民送上春联，送去祝福。活动中，志愿者们深入小区和商铺为辖区居民送春联，把浓浓的年味和新春的祝福提前送到了居民的家中。居民们拿着一副幅红火的春联和福字，高兴不已，纷纷表示感谢。网格员通过这种喜闻乐见的方式，提前祝福辖区居民新年快乐，并感谢大家一年来对社区工作的支持和理解。同时，网格员每到一户就提醒居民，当前疫情形势严峻复杂，非必要不要外出，劝导居民原地就地过年。此次活动的开展，营造了健康温馨、积极向上电动社区氛围，同时拉进了居民和网格员之间的距离，让社区居民感受到了社区大家庭的温暖。,0
94,废旧衣物回收箱清理不及时,小区巡查时发现小区废旧衣物回收箱内衣物已满，联系相关部门尽快处理。,0
95,乱堆物堆料,巡逻中发现有的村民在公路路边乱堆物堆料，不仅仅不安全，还破坏了村容村貌，,1
96,交通信号灯失灵,网格巡查发现***路与***路***路口红绿灯失灵，这个路段的附近群众进城，园区企业职工必经之路，雨后道路湿滑，又因一条新路半封闭整修，给车辆及行人带有道路不安全隐患。,19
97,及时维修11号楼1单元2楼楼道灯,在网格内巡查时，来到***花园入户了解民情时，发现***花园11号楼1单元2楼灯已损坏，特别到了晚上业主出入很不方便，需要及时维修，如不及时维修，存在很大安全隐患，我立即联系物业负责人尽快维修。,0
98,禁止私家车停放堵住道路,2020年9月2日上午7点30分左右，***第一网格员在巡查时发现11号楼东侧路段有3辆车都停放在路上，把整条路都堵住了，影响正常的通行。我会和车主协商让他尽快把车开走，让道路能恢复正常通行。,2
99,车辆乱停乱放,2020年9月9日上午8点30分左右***座专属网格网格员***在巡查过程中发现位于***停车场B出入口处，有私家车乱停乱放，此处位于路口禁止停放车辆，需要及时排查处理。,2
100,乱扯乱挂晒被子,***5号楼1单元旁边乱扯乱挂晒衣服,0
101,机动车乱停放,2020年9月9日下午4点38分左右，***社区第三网格网格员***，在巡查到***街***电器商铺门口时，发现居民将机动车停在道路中央进行拉货，此道路来往车辆众多，严重妨碍其他车辆的正常通行，同时也影响了精神文明城市的创建。,2
102,中心街道边有烂包装袋影响环境,2020年9月10日8点左右，***网格员***，在巡查时发现，中心街道边有烂包装袋影响环境。,4
103,协调联系国电恢复施工地面,2020年9月10日10时15分，xx街道xx社区文苑小区网格员***，国电施工，xx小区门卫门口地面被破坏。,0
104,垃圾桶全满,2020.09.01上午十一点半***网格员***巡查至村内第二条东西路，看到路边的垃圾桶外面还堆放着一堆瓜蔓等绿化垃圾，散发着难闻的气味。垃圾这样散落着即影响环境卫生又影响村容村貌，需要处理。,5
105,人口信息采集,2020年9月9号***区第二网格员***在居委会进行居民信息采集,0
106,河道排查,2020年9月8日上午8：40分，在区域内排查河道有无游泳垂钓者,0
107,95号楼三单元居民私拉电线充电,时间:2021年2月2日地点:***95号楼三单元北面车库事件:***网格员***早上在排查时发现三单元居民在私自拉电线充电，是一件非常危险的事，考虑到可能会造成隐患，就跟居民进行交流，居民也非常配合,8
108,自行车乱停放,***园11号楼一单元楼道内乱停放自行车。,2
109,垃圾已外溢,2020.9.9号上午7点10分，在日常巡查时，看到村北垃圾桶垃圾已外溢，严重影响村容村貌和周围的环境卫生。,0
110,***南区13号楼4单元1楼楼道内缺少“文明健康，有你有我”公益广告,2020年9月10日上午10点58分左右，***街道***第二网格网格员***在网格内进行日常的***全巡查工作。在巡查到***南区13号楼4单元时，发现该楼1楼楼道内缺少文明健康，有你有我”公益广告。公益广告的缺少十分不利于文明风尚的传播，十分不利于创建文明城市的推进。需及时协调处理。,0
111,帮助老年人。,巡查中发现村民巡查中发现村民***，因为需要登记信息，而他的户口本儿，在河口大儿子家里他无法拿到手，很着急,0
112,车辆占用广场,9月5日上午我在村里巡查看到广场上放一辆机动三轮车，占用广场影响村民健身娱乐，村民健身时不注意还会磕碰，也影响村貌，联系车主赶紧开走。,0
113,电三轮车拉孩子安全隐患,2020年9月8日下午，网格员在***村网格内巡查时发现村南北中心街上有一辆电三轮车上面拉着两个孩子，车速特别快，孩子没坐下站在上面还东张西望，这条街道是村里的主街道车辆特别多，这样拉着孩子车速又快特别危险，随时都会存在安全隐患问题。,0
114,打药,虫害发生了，需要喷施药物,0
115,村**路边随意摆放杂物阻碍通行存在安全隐患,9月9日上午，**街道**村网格员***在巡**村南的时候，**路边摆放着铁制品，来往的行人很多，铁制品容易**村民受伤，存在安全隐患。,21
116,楼栋内禁止停放自行车摩托车,内容：今天是2020年9月10号星期四第六网格地点是3号楼。今天去巡查，发现楼道里停放着电动车，摩托车。你这样容易引起火灾，也影响楼道内堵塞。经过查询，联系到了放摩托车电动车的业主，让他们把路道内清理干净。,0
117,巡查时发现路面有塑料皮,及时清理路面塑料皮。,3
118,楼道门口路面凹陷,2020年9月9日8点52分<br>***区二网格网格员***在巡查小区时发现***区1***一单元楼道门口路面有凹陷，为小区居民出行带来安全隐患,0
119,网格员在小区调查问卷,网格员在小区调查问卷,0
120,小区外墙墙皮开裂,9月9日上午10:00，***社区网格员***接到网格群里居民反映说51号楼东墙上的墙皮开裂，马上快掉下来了，***立即赶到现场，并及时告知物业站人员，要求他们马上清理。,24
121,维修围墙上的护栏,在网格内检查时，发放2***西侧围墙上的栏杆已缺少。这个围墙上的栏杆需要及时恢复，如不及时恢复，会存在安全隐患。已联系物业公司尽快恢复。,0
122,乱堆物堆料,9月11号网格内巡查时发现有乱堆物现象，影响新农村的村容村貌，,1
123,联系国电清理小区内施工垃圾,2020年9月5日网格员日常巡查小区中发现76号楼东侧配电室附近国电施工后有遗留垃圾，风一吹就会尘土飞扬，既影响市容市貌又影响居民生活环境，网格员发现后电话联系国电施工人员，微信发照片。,0
124,垃圾溢出清理不及时,2020年9月8日8时16左右，***中心社区第一网格网格员***在巡查至***商铺时，发现垃圾溢出清理不及时问题，影响市容市貌，需清理。,5
125,帮助残疾人连网线,2020年9月10日，网格员***巡查到***村南街时，遇一残疾人需要连网线,0
126,及时清理废弃家具,2020.9.9日***社区***小区网格员***在小区巡查过程中发现14号楼有居民放置在路边的废弃家具，未及时清理。,3
127,公交车停靠牌安装,2020年9月2号接到书记电话要要在村头安装公交车停靠站牌，等了一下午没看到安装人员,0
128,疫情排查,9月9日8点44分***区北门商铺排查有无境外进入人员。,0
129,砖块乱堆乱放,今日网格内巡查发现村民胡同内砖块乱堆乱放，严重影响交通，给人们出行造成了一定的影响，尽快处理。,1
130,墙壁上的小广告,***村网格网格员***。2020年9月8日上午8点23分，我巡查至我村村北***家的墙壁上张贴有小广告。影响了村容村貌，影响了文明村的建设，另一方面，小广告上的信息我可能存在虚假信息，需要及时清理。,0
131,禁止楼道门上贴小广告,2020年9月6号上午9:50分，***地球网格员***在小区内日常巡查时发现***门上贴有广告。这样影响小区环境，我立刻把广告给清理。,0
132,私家车停在胡同中间,2021年二月一号上午***点左右，***村网格员***，日常巡查至村西南角一条胡同时，看到一辆私家车停放在胡同中间，没有给其它过往车辆留出过往通道。,2
133,杂物堆积,网格员**56-2有杂物堆积，网格员**业主清理,0
134,清理***上的被子,2020年9月2日上午9.时，***第一网格网格员***在巡查至同和小区一期广场时发现有居民在***晾晒被褥，附近游玩的居民及孩子较多，***得不到使用，影响了小区环境美观，也存在安全隐患。,6
135,电动车不规范充电,2020年9月7日上午10点30分***区第四网格员***日常巡查中发现408号楼三单元前有电动三轮车在充电，经过详细查看该电动三轮车属于违章用电进行充电，未使用专用导线及专业插座，随着充电时间延长，会给安全用电造成严重隐患，甚至电线短路引起火灾，为了防患于未然，网格员***找到居民，说明不规范用电的危害性，使居民意识到用电安全的重要。居民即刻让网格员把充电插头拔下，充电电源收起，并承诺今后安全规范化用电，隐患排除，事件办理结束。,11
136,业主车辆占用消防通道,9月3日9时，*******小区网格网格员***在巡查中发现****小区1号楼院南*路面有业主车辆乱停乱放占用消防通道，将这一现象上报到街道网格中心，街道网格中心以转办单位的形式将其转给街道物业管理人员联合网格员**一现象进行了管理。,7
137,垃圾桶周围垃圾未及时清理,网格员**常巡查时，管辖范围内的73号楼东侧垃圾桶外有垃圾在垃圾桶外，**小区环境，既不美观也不卫生。网格员**联系物业保洁人员进行清扫处理，网格员**配合物业保洁人员，一起对垃圾进行了清理，保**小区的卫生和环境整洁。,0
138,垃圾已满,垃圾已满，需要外运，已经联系垃圾车清理。,0
139,乱挂物品,2020年.9月3号，***网格员，我在日常巡查中，发现**村大院围墙上有晾晒衣服，应响了**村村乡容村貌，也破坏了**村环境卫生。,6
140,网格员在小区清理垃圾,网格员在小区清理垃圾,0
141,网格员协调处理商户维护街面环境整洁,***小区网格员***在网格周边巡检发现商户外墙烟囱下由于长期炒菜做饭积攒了大量的油污，严重影响街面环境整洁，于是网格员与商户协商尽量频繁清理，或更换抽油烟机，维护小区环境整洁！,12
142,车辆乱停放,车辆乱停,2
143,发现村民门口的绿化带中有村民存放的碎树枝，影响村容村貌,巡查时发现，村民门口的绿化带中有村民存放的碎树枝，影响村容村貌,0
144,**街面卫生,2020年9月5号上午***村网格员***在日常查看村情时发现，村中心大街南头***门口有一堆碳，好长时间了没有清理，严重影响了村内环境卫生，有损村容村貌。,1
145,处理居民乱丢的废弃家具垃圾,2020年9月9日，*********社区第八网格的网格员***，巡查至******小区时，发现35号楼一单元居民把装修废弃的垃圾，废弃家具设备等丢放在楼道门口，影响小区整体面貌。,3
146,跟进海外回国人员,？9月11日上午8时，**街道xx社区***网格员***？对墨西哥返回居民进行一对一跟进服务。居民***于8月22日乘坐NH179航班由墨西哥飞往上海浦东机场入境后，在上海莱芙蔻海景大酒店进行集中隔离14天，隔离期间已做核酸检测2次，均呈阴性，体温正常。在上海隔离期结束后，***先生乘坐9C8737航班由上海虹桥机场返回**，由市政专车从xx机场统一接回***做了两次核酸检测，结果均呈阴性。***先生于9月6号16xx社区工作人员接回家中居家观察14天，网格员将每天对**进行一天两次体温登记，并建立台账上报。,0
147,清理杂物,***小区清理一楼院前杂物,0
148,农作物疯长,2020年9月8日上午10点50分***村网格员在网格内巡查时发现，村东西大街的西头村民种植的农作物疯长，排到门外，影响村容村貌。,0
149,垃圾桶满需清理,2020年9月5日上午网格员在基础网格内巡查，巡查至共青团路以北，外环西路以东时，发现附近有垃圾桶满未及时清理，污染环境，影响市容市貌，容易对人体造成危害。,5
150,废物家具乱扔,1***前垃圾桶旁废弃家具随意丢放，影响小区环境卫生,3
151,白色私家车绿化带处乱停放,2020年9月10日上午9点55分左右，***县***街道***社区第八网格员在日常巡查过程中，发现***29号楼北侧绿化带处有居民乱停车，侵占了小区公共区域，破坏了小区绿化，特别是创城期间影响了市容市貌。,2
152,第三条东西街位置路边杂草堆积,2020年9月8日，***村网格员巡查到第三条东西街位置时发现，路边路面放置杂草未清理，发现并尽快清理。,0
153,乱堆物堆料,今天上午8点20分左右在网格内正常巡查中发现村内东西主道垃圾桶旁有一堆杂草堆放在路中，这是一条通往村里的主要交通道路，来往行人和车辆比较多，显的村内道路不整洁，环境也不卫生，需及时处理,1
154,楼道内放儿童车,2020年9月9日上午11点03分左右，***街道***第一网格网格员***在巡查***小区时发现，在***3号楼4层，有居民在楼道内停放儿童车，存在极大的消防隐患，严重影响其他居民的正常通行，给其他居民的生活造成极大不便。,7
155,平台上乱晾鞋子。,平台上乱晾鞋子。,6
